City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,novo cruzeiro,-17.4681,-41.8753,21.35,47,1,2.09,BR,1721506320
215,la ronge,55.1001,-105.2842,31.14,30,5,1.54,CA,1721506322
216,puerto ayacucho,5.6639,-67.6236,24.59,88,99,1.03,VE,1721506323
217,arauco,-37.2463,-73.3175,11.66,58,0,2.31,CL,1721506324
218,krasnyy chikoy,50.3643,108.7512,18.59,70,100,1.7,RU,1721506326
219,teknaf,20.8624,92.3058,27.33,89,100,5.81,BD,1721506327
220,cranfield,52.0687,-0.6088,20.72,92,89,0.89,GB,1721506329
221,holualoa,19.6228,-155.9522,25.91,89,0,5.66,US,1721506295
222,ejea de los caballeros,42.1263,-1.1372,28.12,62,79,6.1,ES,1721506332
223,fuerte olimpo,-21.0415,-57.8738,34.52,17,0,2.97,PY,1721506333
224,mitu,1.1983,-70.1733,25.99,90,72,0.56,CO,1721506335
225,saint-pierre,-21.3393,55.4781,19.76,77,0,2.06,RE,1721506336
226,oamaru,-45.0784,170.9801,5.38,81,15,1.87,NZ,1721506337
227,puerto baquerizo moreno,-0.9,-89.6,22.55,78,100,6.69,EC,1721506339
228,yemva,62.59,50.8594,12.39,63,0,2.65,RU,1721506340
229,palmer,42.1584,-72.3287,29.13,53,75,5.14,US,1721506342
230,bafra,41.5678,35.9069,23.69,91,0,2.04,TR,1721506343
231,tsiombe,-25.3,45.4833,17.64,74,1,1.38,MG,1721506345
232,soe,-9.8607,124.284,14.77,95,40,1.89,ID,1721506346
233,warwick,41.7001,-71.4162,29.86,55,75,6.17,US,1721506348
234,mantua,45.1667,10.7833,27.58,79,0,3.49,IT,1721506349
235,whitehorse,60.7161,-135.0538,21.72,37,59,2.39,CA,1721506350
236,sisimiut,66.9395,-53.6735,13.42,60,7,5.45,GL,1721506352
237,khorixas,-20.3667,14.9667,15.32,31,3,2.07,NA,1721506353
238,victoria falls,-17.9235,25.843,17.87,27,0,1.18,ZW,1721506355
239,ar rutbah,33.0381,40.2848,31.76,25,0,1.86,IQ,1721506356
240,pama,11.2497,0.7075,24.2,88,100,1.79,BF,1721506358
241,luanda,-8.8368,13.2343,20.1,90,1,4.44,AO,1721506359
242,jieshi,22.8134,115.8257,28.98,82,6,4.0,CN,1721506360
243,kapa'a,22.0752,-159.319,28.99,69,40,5.14,US,1721506362
244,sitka,57.0531,-135.33,14.94,88,100,2.06,US,1721506208
245,taco pozo,-25.6167,-63.2833,21.26,50,48,1.62,AR,1721506365
246,stanley,54.868,-1.6985,20.1,83,20,2.06,GB,1721506366
247,ikom,5.9667,8.7063,22.59,98,96,1.31,NG,1721506368
248,medea,36.2642,2.7539,28.5,29,0,1.65,DZ,1721506370
